507000,1,1,1,1,1,492.52,1679.17,2,1,1,0,1,1,1,1,0,1,2,1,1,10,500,599,43.7690944,-79.3686871,0.248532543,52,52035
940000,2,3,1,1,1,855.75,2531.082,2,1,1,0,0,1,0,1,0,1,2,1,1,33,1200,1399,43.6691531,-79.3873723,0.203985459,76,56526
539000,4,1,2,0,1,0,3979.81,1,4,4,0,0,0,0,2,0,0,1,1,0,1,1032.555645,1216.389347,43.647802,-79.514858,0.289262913,15,144642
399900,1,1,1,1,1,355.95,2376,7,5,1,0,0,1,0,1,0,1,2,1,1,32,500,599,43.6502401,-79.3609196,1.383489915,77,70600
415000,3,2,3,0,3,0,2662.23,1,3,7,0,0,1,0,3,0,0,2,1,0,1,1643.664357,2106.310297,43.76654,-79.330047,1.687039725,45,42516
1138000,3,3,4,1,1,548.79,4204.7,1,1,1,0,1,1,1,4,0,3,2,1,1,1,1400,1599,43.6591568,-79.3637818,1.404157861,72,34597
149000,1,1,1,3,1,245.54,1296.24,1,1,1,0,0,1,0,1,0,2,2,1,3,2,570.6391098,707.6612331,43.7038775,-79.3494999,2.703500134,55,28875
675000,2,1,1,1,1,438.55,2200,1,1,1,0,1,1,1,1,2,1,2,1,1,7,700,799,43.6575979,-79.4458346,0.287442692,83,40588
1079000,2,2,1,1,2,882.14,4049.8,2,1,1,0,1,1,1,1,0,1,2,1,1,22,800,899,43.6522103,-79.3707988,0.676695079,73,58915
345000,3,1,3,0,1,0,2382.7,1,4,6,0,0,1,0,2,0,0,1,1,0,1,652.5917532,764.6126505,43.762104,-79.250187,1.443644779,127,33256
299000,1,1,1,1,1,279,1796.366667,2,1,1,0,0,1,0,1,0,1,2,1,1,8,500,699,43.6384523,-79.4128024,2.450110461,82,70623
440000,3,2,2,0,1,0,2549.85,1,2,2,0,0,0,0,3,0,0,2,1,0,1,979.3146033,1158.333693,43.674464,-79.338109,0.732487236,69,48511
363000,2,2,3,0,3,0,3073.52,3,2,2,0,0,1,0,2,0,0,2,1,0,1,700,1100,43.694451,-79.472399,2.970447351,112,33829
